unique_id,race,race_imputed,imputation_probability,date,city,state,zip,county,agencies,highest_force,armed,weapon,aggressive,fleeing,intended_use_of_force,GEOID,NAME,IncomeE,IncomeM,Total_popE,Total_popM,NH_WhiteE,NH_WhiteM,NH_BlackE,NH_BlackM,NH_AsianE,NH_AsianM,Hisp_LatinoE,Hisp_LatinoM,income_tertile,income_quartile,income_quintiles,income_quintiles_nolab,income_sextile,income_septile,income_octile,income_nonile,income_decile,income_15_quant,income_ventile,income_50_quantiles,income_bins,income_bins_100,NH_WhiteP,NH_BlackP,NH_AsianP,Hisp_LatinoP,Majority
28605,White,White,NA,2020-08-16,Theta,TN,38401,Maury,Maury County Sheriff's Office,Gunshot,None,None,None/Police alleged vehicular assault.,Fleeing/Vehicle,Deadly force,47119010100,"Census Tract 101, Maury County, Tennessee",55443,11012,3456,557,3142,546,60,112,72,91,123,141,2,2,2nd Quintile,2,3,3,4,4,4,6,8,20,80,40,0.9091435185185185,0.017361111111111112,0.020833333333333332,0.035590277777777776,White
28606,White,White,NA,2020-08-16,Las Vegas,NV,89117,Clark,Las Vegas Metropolitan Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,32003002997,"Census Tract 29.97, Clark County, Nevada",45202,21874,3685,627,1592,514,630,380,720,226,583,488,1,1,2nd Quintile,2,2,2,2,3,3,4,5,12,47,24,0.43202170963364994,0.17096336499321574,0.19538670284938942,0.1582089552238806,NA
28607,Other/Unknown,Other/Unknown,NA,2020-08-16,Hemet,CA,92543,Riverside,Hemet Police Department,Gunshot,Armed,Firearm/Gun,Brandished weapon,Not fleeing,Deadly force,06065043309,"Census Tract 433.09, Riverside County, California",41645,10876,2483,435,760,228,273,192,95,96,1106,252,1,1,1st Quintile,1,2,2,2,2,2,3,4,9,36,18,0.30608135320177204,0.1099476439790576,0.038260169150221505,0.44542891663310513,NA
28598,Black,Black,NA,2020-08-15,Pasadena,CA,91103,Los Angeles,Pasadena Police Department,Gunshot,Armed,Firearm/Handgun,Uncertain,Fleeing/Foot,Deadly force,06037461502,"Census Tract 4615.02, Los Angeles County, California",55590,23460,6533,804,1404,336,1154,447,421,146,3426,589,2,2,2nd Quintile,2,3,3,4,4,4,6,8,20,80,40,0.21490892392469005,0.17664166539109138,0.06444206337058013,0.5244145109444359,Hispanic/Latino
28599,White,White,NA,2020-08-15,Oak Ridge,TN,37830,Anderson,Oak Ridge Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,47001020600,"Census Tract 206, Anderson County, Tennessee",71154,12141,2311,349,1754,240,156,120,7,10,348,238,2,3,4th Quintile,4,4,5,5,6,7,10,13,31,123,62,0.7589787970575509,0.06750324534833406,0.003028991778450887,0.1505841627001298,White
28600,Black,Black,NA,2020-08-15,Tuscaloosa,AL,35401,Tuscaloosa,Tuscaloosa Police Department,Tasered,Unarmed,None,Struggled,Fleeing/Foot,Less-than-lethal force,01125011600,"Census Tract 116, Tuscaloosa County, Alabama",29897,5352,4054,908,1833,764,1961,405,7,12,226,186,1,1,1st Quintile,1,1,1,1,1,1,1,2,3,12,6,0.45214602861371483,0.48371978293043905,0.001726689689195856,0.055747409965466205,NA
28601,Other/Unknown,Other/Unknown,NA,2020-08-15,Denver,CO,80216,Denver,Burlington Northern Santa Fe Railway Police Department,Gunshot,Armed,Edged weapon/Knife,Used weapon,Not fleeing,Deadly force,08031003501,"Census Tract 35.01, Denver County, Colorado",60119,7607,3333,523,612,214,117,101,0,12,2465,500,2,2,3rd Quintile,3,3,4,4,5,5,7,10,24,93,47,0.18361836183618363,0.0351035103510351,0,0.7395739573957396,Hispanic/Latino
28603,White,White,NA,2020-08-15,Ocala,FL,34480,Marion,Marion County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,12083001103,"Census Tract 11.03, Marion County, Florida",54704,9338,7840,987,5189,912,863,355,38,45,1324,373,2,2,2nd Quintile,2,3,3,4,4,4,6,8,20,77,39,0.6618622448979592,0.1100765306122449,0.004846938775510204,0.16887755102040816,White
28611,Other/Unknown,White,0.913495,2020-08-15,Guerneville,CA,95446,Sonoma,Sonoma County Sheriff's Office,Tasered,Unarmed,None,Struggled,Not fleeing,Less-than-lethal force,06097153710,"Census Tract 1537.10, Sonoma County, California",61667,24913,2306,364,2004,339,0,13,27,38,237,138,2,2,3rd Quintile,3,3,4,4,5,5,8,10,25,98,49,0.8690372940156115,0,0.011708586296617519,0.10277536860364267,White
28612,White,White,NA,2020-08-15,Franklin,GA,30217,Heard,Heard County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,13149970100,"Census Tract 9701, Heard County, Georgia",40969,7017,4426,424,3756,405,408,171,0,14,84,87,1,1,1st Quintile,1,2,2,2,2,2,3,4,9,35,18,0.8486217803886127,0.0921825576140985,0,0.018978761861726163,White
28593,White,White,NA,2020-08-14,Fort Lauderdale,FL,33312,Broward,Broward County Sheriff's Office,Gunshot,Armed,Firearm/Gun,Brandished weapon,Not fleeing,Deadly force,12011080402,"Census Tract 804.02, Broward County, Florida",50428,20703,3454,1030,1780,525,742,926,0,14,911,435,1,2,2nd Quintile,2,2,3,3,3,4,5,7,16,62,31,0.5153445280833816,0.21482339316734222,0,0.2637521713954835,White
28594,Hispanic/Latino,Hispanic/Latino,NA,2020-08-14,Phoenix,AZ,85017,Maricopa,Glendale Police Department,Gunshot,Armed,Firearm/Handgun,Reached to waist,Not fleeing,Deadly force,04013109001,"Census Tract 1090.01, Maricopa County, Arizona",30973,1662,5028,737,307,115,808,524,544,361,3165,648,1,1,1st Quintile,1,1,1,1,1,1,1,2,4,13,7,0.06105807478122514,0.16070007955449483,0.10819411296738266,0.6294749403341289,Hispanic/Latino
28597,Other/Unknown,Other/Unknown,NA,2020-08-14,North Miami,FL,33161,Miami-Dade,North Miami Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,12086000219,"Census Tract 2.19, Miami-Dade County, Florida",39375,9950,5086,998,318,128,3090,833,49,55,1515,626,1,1,1st Quintile,1,1,2,2,2,2,3,3,8,30,15,0.06252457727093984,0.6075501376327173,0.009634290208415257,0.29787652379079826,Black
28850,Other/Unknown,Hispanic/Latino,0.988555,2020-08-14,Pacoima,CA,91331,Los Angeles,Los Angeles Police Department,Tasered,Unarmed,None,Struggled,Not fleeing,Less-than-lethal force,06037119004,"Census Tract 1190.04, Los Angeles County, California",84028,17013,3353,1118,107,57,35,38,340,125,2840,1119,3,3,4th Quintile,4,5,6,6,7,8,12,15,37,148,74,0.03191172084700268,0.010438413361169102,0.10140172979421413,0.8470026841634357,Hispanic/Latino
28580,White,White,NA,2020-08-11,Albuquerque,NM,87106,Bernalillo,Albuquerque Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,35001001201,"Census Tract 12.01, Bernalillo County, New Mexico",31118,4287,4121,889,1033,282,187,279,241,221,2436,752,1,1,1st Quintile,1,1,1,1,1,1,1,2,4,14,7,0.2506673137587964,0.04537733559815579,0.05848095122543072,0.5911186605192914,Hispanic/Latino
28581,White,White,NA,2020-08-11,Tulsa,OK,74116,Tulsa,Rogers County Sheriff's Office,Gunshot,Unarmed,None,Sudden threatening movement,Not fleeing,Deadly force,40143005900,"Census Tract 59, Tulsa County, Oklahoma",36705,8543,2594,363,889,211,277,104,99,152,821,193,1,1,1st Quintile,1,1,1,1,2,2,2,3,6,24,12,0.3427139552814187,0.10678488820354665,0.038164996144949885,0.3164996144949884,NA
28584,Other/Unknown,White,0.556266,2020-08-11,Pueblo,CO,81003,Pueblo,Pueblo Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,08101002901,"Census Tract 29.01, Pueblo County, Colorado",36426,7213,3176,427,1165,278,105,106,32,25,1691,364,1,1,1st Quintile,1,1,1,1,2,2,2,3,6,24,12,0.36681360201511337,0.03306045340050378,0.010075566750629723,0.5324307304785895,Hispanic/Latino
28577,White,White,NA,2020-08-10,Las Vegas,NV,89115,Clark,Las Vegas Police Department,Gunshot,Armed,Firearm/Replica firearm,Brandished weapon,Not fleeing,Deadly force,32003004712,"Census Tract 47.12, Clark County, Nevada",28882,10138,4726,1044,1286,452,1874,760,44,52,1487,477,1,1,1st Quintile,1,1,1,1,1,1,1,2,3,11,6,0.27211172238679643,0.396529834955565,0.009310198899703767,0.31464240372407953,NA
28578,White,White,NA,2020-08-10,Robbins,NC,27325,Moore,Robbins Police Department,Gunshot,Armed,Firearm/Shotgun,Brandished weapon,Fleeing/Foot,Deadly force,37125950201,"Census Tract 9502.01, Moore County, North Carolina",42710,8576,3143,598,1414,405,199,159,19,27,1494,513,1,1,1st Quintile,1,2,2,2,2,2,3,4,10,40,20,0.44988864142538976,0.063315303849825,0.006045179764556157,0.47534202990773144,NA
28579,White,White,NA,2020-08-10,Albuquerque,NM,87120,Bernalillo,Albuquerque Police Department,Gunshot,Armed,Firearm/Gun,Brandished weapon,Not fleeing,Deadly force,35001004723,"Census Tract 47.23, Bernalillo County, New Mexico",91394,4041,6973,1406,2574,425,124,128,394,476,3463,1148,3,4,4th Quintile,4,5,6,7,8,8,12,16,40,158,79,0.3691381041158755,0.017782876810554998,0.05650365696256991,0.4966298580238061,NA
28583,Hispanic/Latino,Hispanic/Latino,NA,2020-08-10,Grand Island,NE,68801,Hall,Grand Island Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,31079000200,"Census Tract 2, Hall County, Nebraska",52416,7865,4508,650,1638,370,4,7,14,24,2813,537,2,2,2nd Quintile,2,3,3,3,4,4,6,7,18,70,35,0.36335403726708076,8.873114463176575e-4,0.003105590062111801,0.6240017746228926,Hispanic/Latino
28572,Hispanic/Latino,Hispanic/Latino,NA,2020-08-09,El Paso,TX,79936,El Paso,El Paso Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,48141004319,"Census Tract 43.19, El Paso County, Texas",70357,12313,5733,712,648,268,80,116,58,61,4934,718,2,3,4th Quintile,4,4,5,5,6,7,10,13,31,121,61,0.1130298273155416,0.013954299668585383,0.010116867259724403,0.8606314320600035,Hispanic/Latino
28573,White,White,NA,2020-08-09,Tulsa,OK,74134,Tulsa,Tulsa Police Department,Gunshot,Armed,Edged weapon/Knife,Brandished weapon,Not fleeing,Deadly force,40143007312,"Census Tract 73.12, Tulsa County, Oklahoma",43022,2875,4463,449,1977,300,779,248,30,40,1211,247,1,1,2nd Quintile,2,2,2,2,2,3,4,5,11,41,21,0.44297557696616624,0.17454626932556577,0.0067219359175442524,0.271342146538203,NA
28575,Other/Unknown,White,0.914217,2020-08-09,Graham,WA,98338,Pierce,Pierce County Sheriff's Office,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,53053073118,"Census Tract 731.18, Pierce County, Washington",88864,12973,4709,750,3768,472,171,148,101,109,442,370,3,4,4th Quintile,4,5,6,7,7,8,12,16,39,155,78,0.8001698874495646,0.036313442344446806,0.021448290507538756,0.09386281588447654,White
27417,Other/Unknown,Other/Unknown,NA,2020-08-08,St. Croix Falls,WI,54024,Polk,St. Croix Falls Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,55095960702,"Census Tract 9607.02, Polk County, Wisconsin",60926,7461,2051,211,1905,198,14,12,4,5,93,58,2,2,3rd Quintile,3,3,4,4,5,5,8,10,24,96,48,0.9288152120916626,0.006825938566552901,0.0019502681618722574,0.045343734763529986,White
28567,White,White,NA,2020-08-08,Clinton,UT,84015,Davis,Roy Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,49011125305,"Census Tract 1253.05, Davis County, Utah",93648,9487,6356,709,5157,564,79,77,103,63,726,210,3,4,5th Quintile,5,5,6,7,8,9,13,17,41,161,81,0.8113593455003146,0.012429200755191945,0.01620516047828823,0.11422278162366269,White
28568,White,White,NA,2020-08-08,Tulsa,OK,74110,Tulsa,Tulsa Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,40143000400,"Census Tract 4, Tulsa County, Oklahoma",32292,7963,3986,409,1066,211,523,159,1,5,1828,359,1,1,1st Quintile,1,1,1,1,1,1,2,2,4,16,8,0.2674360260913196,0.13120923231309584,2.508780732563974e-4,0.4586051179126944,NA
28569,Black,Black,NA,2020-08-08,Bossier City,LA,71111,Bossier,Bossier City Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,22015010602,"Census Tract 106.02, Bossier Parish, Louisiana",32017,5274,3273,549,1178,227,1497,394,13,21,485,426,1,1,1st Quintile,1,1,1,1,1,1,2,2,4,15,8,0.35991445157348,0.45737855178735104,0.003971891231286282,0.14818209593644974,NA
28582,White,White,NA,2020-08-08,Holladay,UT,84121,Salt Lake,Unified Police Department of Greater Salt Lake,Gunshot,Armed,Firearm/Handgun,Uncertain,Not fleeing,Deadly force,49035110104,"Census Tract 1101.04, Salt Lake County, Utah",158158,41152,5868,688,5044,607,0,17,208,54,170,88,3,4,5th Quintile,5,6,7,8,9,10,15,20,49,195,98,0.8595773687798227,0,0.0354464894342195,0.028970688479890934,White
28560,White,White,NA,2020-08-07,Dover,FL,33527,Hillsborough,Hillsborough County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,12057012106,"Census Tract 121.06, Hillsborough County, Florida",76228,7353,4914,479,3382,466,405,263,33,52,895,271,2,3,4th Quintile,4,4,5,6,6,7,10,14,34,134,67,0.6882376882376883,0.08241758241758242,0.006715506715506716,0.18213268213268213,White
28561,White,White,NA,2020-08-07,St. Petersburg,FL,33703,Pinellas,St. Petersburg Police Department,Gunshot,Unarmed,None,Struggled,Not fleeing,Deadly force,12103024100,"Census Tract 241, Pinellas County, Florida",61801,7886,5123,722,3979,548,72,112,210,294,747,347,2,2,3rd Quintile,3,3,4,4,5,5,8,10,25,98,49,0.7766933437439001,0.014054265079055241,0.040991606480577786,0.14581300019519813,White
28562,Other/Unknown,Other/Unknown,NA,2020-08-07,West Alton,MO,63386,St. Charles,St. Charles County Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,29183310100,"Census Tract 3101, St. Charles County, Missouri",78828,25880,2388,286,2300,273,3,4,0,12,17,17,3,3,4th Quintile,4,5,5,6,7,7,11,14,35,139,70,0.9631490787269682,0.001256281407035176,0,0.00711892797319933,White
28563,Black,Black,NA,2020-08-07,Orlando,FL,32809,Orange,Orange County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Fleeing/Foot,Deadly force,12095014202,"Census Tract 142.02, Orange County, Florida",40713,7035,4858,1050,435,300,1083,745,318,287,3001,865,1,1,1st Quintile,1,1,2,2,2,2,3,4,9,34,17,0.08954302181967888,0.22293124742692466,0.06545903664059284,0.6177439275421984,Hispanic/Latino
28566,Black,Black,NA,2020-08-07,Sylvania,GA,30467,Screven,Georgia State Patrol,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,13251970600,"Census Tract 9706, Screven County, Georgia",57059,11703,1966,266,1314,250,523,158,35,45,0,14,2,2,3rd Quintile,3,3,3,4,4,5,7,9,22,85,43,0.6683621566632757,0.26602238046795523,0.01780264496439471,0,White
28576,Other/Unknown,White,0.943418,2020-08-07,Casper,WY,82601,Natrona,Casper Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,56025000601,"Census Tract 6.01, Natrona County, Wyoming",82000,12648,2833,495,2480,487,0,12,0,12,110,99,3,3,4th Quintile,4,5,6,6,7,8,11,15,36,144,72,0.8753971055418285,0,0,0.03882809742322626,White
28610,Other/Unknown,Hispanic/Latino,0.819558,2020-08-07,Rancho Mirage,CA,92270,Riverside,Riverside County Sheriff's Department,Gunshot,Armed,Edged weapon/Screwdriver,Used weapon,Not fleeing,Deadly force,06065044917,"Census Tract 449.17, Riverside County, California",109492,15048,4567,658,4099,618,93,104,30,48,206,162,3,4,5th Quintile,5,6,7,8,8,9,14,18,44,176,88,0.8975257280490475,0.020363477118458508,0.006568863586599518,0.04510619662798336,White
28543,White,White,NA,2020-08-06,Oakland,CA,94603,Alameda,San Leandro Police Department,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Fleeing/Foot,Deadly force,06001409300,"Census Tract 4093, Alameda County, California",46864,5059,5153,783,196,141,1210,292,103,99,3544,713,1,2,2nd Quintile,2,2,2,3,3,3,4,6,13,52,26,0.03803609547836212,0.2348146710653988,0.019988356297302542,0.6877547059965069,Hispanic/Latino
28554,Other/Unknown,Other/Unknown,NA,2020-08-06,Ontario,CA,91761,San Bernardino,California Highway Patrol,Gunshot,Armed,Blunt object/Metal pipe,Uncertain,Uncertain,Deadly force,06071012700,"Census Tract 127, San Bernardino County, California",90474,13633,4106,653,952,358,217,158,304,217,2542,618,3,4,4th Quintile,4,5,6,7,8,8,12,16,40,157,79,0.23185582075012176,0.05284948855333658,0.07403799318071115,0.6190940087676571,Hispanic/Latino
28555,Black,Black,NA,2020-08-06,Ventnor City,NJ,08406,Atlantic,Ventnor City Police Department,Gunshot,Armed,Edged weapon/Glass bottle,Advanced toward officer(s),Not fleeing,Deadly force,34001013201,"Census Tract 132.01, Atlantic County, New Jersey",45903,27514,2955,549,1621,436,54,47,582,270,654,336,1,1,2nd Quintile,2,2,2,2,3,3,4,5,13,49,25,0.5485617597292725,0.018274111675126905,0.19695431472081218,0.22131979695431472,White
28541,Other/Unknown,Other/Unknown,NA,2020-08-05,San Angelo,TX,76901,Tom Green,San Angelo Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,48451001709,"Census Tract 17.09, Tom Green County, Texas",71800,18054,4723,547,3573,537,34,26,16,22,1062,344,2,3,4th Quintile,4,4,5,5,6,7,10,13,31,124,62,0.756510692356553,0.007198814312936693,0.0033876773237349143,0.22485708236290494,White
28530,White,White,NA,2020-08-04,Warren,OH,44485,Trumbull,Warren Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,39155920700,"Census Tract 9207, Trumbull County, Ohio",27414,11690,4367,721,2123,366,1734,341,42,65,222,187,1,1,1st Quintile,1,1,1,1,1,1,1,1,3,9,5,0.48614609571788414,0.39706892603618044,0.009617586443782918,0.05083581405999542,NA
28531,Other/Unknown,White,0.734796,2020-08-04,West Valley City,UT,84118,Salt Lake,Unified Police Department of Greater Salt Lake,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Fleeing/Foot,Deadly force,49035113545,"Census Tract 1135.45, Salt Lake County, Utah",105455,12305,3633,629,1312,301,11,17,708,252,1296,501,3,4,5th Quintile,5,6,7,7,8,9,13,18,44,173,87,0.36113404899532064,0.0030278007156619873,0.1948802642444261,0.35672997522708505,NA
28534,Hispanic/Latino,Hispanic/Latino,NA,2020-08-04,Phoenix,AZ,85031,Maricopa,Phoenix Police Department,Asphyxiated/Restrained,Unarmed,None,Struggled,Fleeing/Foot,Less-than-lethal force,04013109900,"Census Tract 1099, Maricopa County, Arizona",52715,11895,9184,1462,1061,565,119,128,28,42,7941,1275,2,2,2nd Quintile,2,3,3,3,4,4,6,8,18,71,36,0.11552700348432056,0.012957317073170731,0.003048780487804878,0.8646559233449478,Hispanic/Latino
28536,Black,Black,NA,2020-08-04,Houston,TX,77002,Harris,Houston Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,48201100001,"Census Tract 1000.01, Harris County, Texas",99714,31069,5090,728,2555,396,1163,381,338,195,902,300,3,4,5th Quintile,5,6,6,7,8,9,13,17,42,167,84,0.5019646365422397,0.22848722986247544,0.06640471512770138,0.17721021611001964,White
28537,Other/Unknown,Other/Unknown,NA,2020-08-04,James Island,SC,29412,Charleston,Charleston County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,45019001901,"Census Tract 19.01, Charleston County, South Carolina",86175,3733,4156,605,3282,546,543,268,8,14,243,256,3,4,4th Quintile,4,5,6,7,7,8,12,16,38,151,76,0.789701636188643,0.13065447545717035,0.0019249278152069298,0.05846968238691049,White
28538,Other/Unknown,White,0.98379,2020-08-04,Fort Dodge,IA,50501,Webster,"Fort Dodge Police Department, Webster County Sheriff's Office",Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,19187000500,"Census Tract 5, Webster County, Iowa",57606,3260,1413,231,1255,195,39,43,0,10,12,11,2,2,3rd Quintile,3,3,4,4,4,5,7,9,22,86,43,0.8881811748053786,0.027600849256900213,0,0.008492569002123142,White
28539,White,White,NA,2020-08-04,Port Orchard,WA,98367,Kitsap,Kitsap County Sheriff's Office,Gunshot,Unarmed,None,Uncertain,Not fleeing,Deadly force,53035092101,"Census Tract 921.01, Kitsap County, Washington",92325,13726,4426,702,3542,558,68,57,148,110,406,230,3,4,4th Quintile,4,5,6,7,8,8,12,16,40,160,80,0.8002711251694532,0.015363759602349751,0.033438770899231814,0.09173068233167646,White
28524,Other/Unknown,White,0.908507,2020-08-03,Mooresville,NC,28115,Iredell,Mooresville Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,37097061503,"Census Tract 615.03, Iredell County, North Carolina",62344,10663,3722,338,3004,304,417,154,120,141,123,78,2,2,3rd Quintile,3,3,4,4,5,5,8,10,25,100,50,0.8070929607737776,0.11203653949489521,0.032240730789897906,0.03304674905964535,White
28529,Other/Unknown,Other/Unknown,NA,2020-08-03,Culver City,CA,90232,Los Angeles,Culver City Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,06037702400,"Census Tract 7024, Los Angeles County, California",98656,23976,4391,455,1850,291,290,221,674,141,1377,304,3,4,5th Quintile,5,5,6,7,8,9,13,17,42,166,83,0.42131632885447506,0.06604418127989069,0.15349578683671145,0.31359599180141196,NA
28522,Other/Unknown,White,0.951886,2020-08-02,West Jordan,UT,84084,Salt Lake,West Jordan Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,49035112914,"Census Tract 1129.14, Salt Lake County, Utah",85226,6297,6633,799,4603,802,35,51,256,180,1506,378,3,3,4th Quintile,4,5,6,6,7,8,12,15,38,149,75,0.693954470073873,0.005276647067691844,0.038594904266546055,0.22704658525554047,White
28523,White,White,NA,2020-08-02,Sarasota,FL,34232,Sarasota,Sarasota County Sheriff's Office,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,12115001504,"Census Tract 15.04, Sarasota County, Florida",65102,13182,2831,427,2251,402,0,14,17,21,453,296,2,3,3rd Quintile,3,4,4,5,5,6,9,11,27,108,54,0.7951253973860827,0,0.006004945249028612,0.1600141292829389,White
28518,White,White,NA,2020-08-01,Homestead,FL,33032,Miami-Dade,Miami-Dade Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,12086010301,"Census Tract 103.01, Miami-Dade County, Florida",80766,25639,2758,878,1426,571,256,281,33,54,1031,703,3,3,4th Quintile,4,5,5,6,7,8,11,15,36,142,71,0.5170413343002176,0.09282088469905729,0.011965192168237854,0.373821609862219,White
28547,White,White,NA,2020-08-01,Stanley,ID,83278,Custer,Bonners Ferry Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,16037960200,"Census Tract 9602, Custer County, Idaho",44757,9055,4193,NA,3571,126,6,6,3,5,299,100,1,1,2nd Quintile,2,2,2,2,3,3,4,5,12,45,23,0.8516575244455045,0.0014309563558311473,7.154781779155736e-4,0.0713093250655855,White
28512,Other/Unknown,White,0.977555,2020-07-31,Brunswick,OH,44212,Medina,Brunswick Police Department,Gunshot,Unarmed,None,Advanced toward officer(s),Not fleeing,Deadly force,39103415100,"Census Tract 4151, Medina County, Ohio",96786,14582,4544,514,4352,522,6,6,70,73,40,45,3,4,5th Quintile,5,5,6,7,8,9,13,17,42,165,83,0.9577464788732394,0.0013204225352112676,0.015404929577464789,0.008802816901408451,White
28514,Other/Unknown,White,0.829672,2020-07-31,Morristown,TN,37814,Hamblen,Morristown Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,47063100100,"Census Tract 1001, Hamblen County, Tennessee",27329,7805,5862,762,4255,650,315,153,16,28,1226,422,1,1,1st Quintile,1,1,1,1,1,1,1,1,3,9,5,0.7258614807233026,0.05373592630501536,0.002729443875810304,0.20914363698396451,White
28505,Black,Black,NA,2020-07-30,Detroit,MI,48227,Wayne,Detroit Police Department,Gunshot,Armed,Edged weapon/Sword,Brandished weapon,Not fleeing,Deadly force,26163534200,"Census Tract 5342, Wayne County, Michigan",26224,5600,3273,794,92,68,3113,794,0,11,3,5,1,1,1st Quintile,1,1,1,1,1,1,1,1,2,8,4,0.028108768713718302,0.9511151848457073,0,9.165902841429881e-4,Black
28506,Other/Unknown,White,0.71649,2020-07-30,Troy,NY,12180,Rensselaer,Troy Police Department,Gunshot,Armed,Edged weapon/Knife,Used weapon,Not fleeing,Deadly force,36083041300,"Census Tract 413, Rensselaer County, New York",50417,10380,4907,502,3305,350,633,273,481,122,230,97,1,2,2nd Quintile,2,2,3,3,3,4,5,7,16,62,31,0.6735276136132057,0.12899938862848992,0.09802323211738333,0.04687181577338496,White
28511,Other/Unknown,Other/Unknown,NA,2020-07-30,Chino,CA,91710,San Bernardino,Chino Police Department,Gunshot,Armed,Edged weapon/Knife,Brandished weapon,Not fleeing,Deadly force,06071000603,"Census Tract 6.03, San Bernardino County, California",85110,9646,4464,557,970,223,239,207,256,126,2905,521,3,3,4th Quintile,4,5,6,6,7,8,12,15,38,149,75,0.21729390681003585,0.05353942652329749,0.05734767025089606,0.6507616487455197,Hispanic/Latino
28513,Hispanic/Latino,Hispanic/Latino,NA,2020-07-30,Mission,TX,78572,Hidalgo,"Mission Police Department, Hidalgo County Sheriff's Office",Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,48215020405,"Census Tract 204.05, Hidalgo County, Texas",70988,37222,3119,661,151,111,0,14,74,96,2894,653,2,3,4th Quintile,4,4,5,5,6,7,10,13,31,122,61,0.04841295286950946,0,0.023725553061878808,0.9278614940686117,Hispanic/Latino
28499,Other/Unknown,Hispanic/Latino,0.998118,2020-07-29,North Las Vegas,NV,89030,Clark,North Las Vegas Police Department,Gunshot,Armed,Edged weapon/Machete,Advanced toward officer(s),Not fleeing,Deadly force,32003004000,"Census Tract 40, Clark County, Nevada",34107,7900,3126,515,220,106,43,49,89,132,2749,446,1,1,1st Quintile,1,1,1,1,1,1,2,2,5,19,10,0.07037747920665387,0.013755598208573257,0.028470889315419065,0.8793985924504159,Hispanic/Latino
28501,Other/Unknown,White,0.918593,2020-07-29,Bothell,WA,98021,Snohomish,Bothell Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,53061051938,"Census Tract 519.38, Snohomish County, Washington",119195,10444,4281,518,1913,348,93,106,1538,398,455,269,3,4,5th Quintile,5,6,7,8,9,10,14,19,46,183,92,0.44685821069843495,0.021723896285914507,0.3592618547068442,0.1062835786031301,NA
